Seq_number	New_name	Site	Season	Bio_rep	Tech_rep	Sample_Control	Control_type	Sample	Grass
Two.harabors.2.Summer.Tech.Rep.1.MiFish.S98	Two_harabors_B_Summer_MiFish	Two Harbors	Summer	B	1	Sample	NA	Tanner	Seagrass
Two.harabors.3.Summer.Tech.Rep.1.MiFish.S99	Two_harabors_C_Summer_MiFish	Two Harbors	Summer	C	1	Sample	NA	Tanner	Seagrass
Catalina.Control.Summer.Tech.Rep.1.MiFish.S100	Catalina_Control_Summer_MiFish	NA	NA	NA	NA	Control	Blank	Tanner	Seagrass
Alligator.Control.Second.Half.Tech.Rep.1.MiFish.S101	Alligator_Control_Second_Half_MiFish	NA	NA	NA	NA	Control	Pos	Tanner	Seagrass
Camel.Control.Second.Half.Tech.Rep.1.MiFish.S102	Camel_Control_Second_Half_MiFish	NA	NA	NA	NA	Control	Pos	Tanner	Seagrass
PCR.Blank.Second.Half.Tech.Rep.1.MiFish.S103	PCR_Blank_Second_Half_MiFish	NA	NA	NA	NA	Control	Blank	Tanner	Seagrass
Big.Geiger.1.Fall.Tech.Rep.2.MiFish.S104	Big_Geiger_Cove_A_Fall_Tech_Rep_2_MiFish	Big Geiger Cove	Fall	A	2	Sample	NA	Tanner	Seagrass
Big.Geiger.1.Fall.Tech.Rep.3.MiFish.S105	Big_Geiger_Cove_A_Fall_Tech_Rep_3_MiFish	Big Geiger Cove	Fall	A	3	Sample	NA	Tanner	Seagrass
Cherry.Cove.1.Fall.Tech.Rep.2.MiFish.S106	Cherry_Cove_A_Fall_Tech_Rep_2_MiFish	Cherry Cove	Fall	A	2	Sample	NA	Tanner	Seagrass
Cherry.Cove.1.Fall.Tech.Rep.3.MiFish.S107	Cherry_Cove_A_Fall_Tech_Rep_3_MiFish	Cherry Cove	Fall	A	3	Sample	NA	Tanner	Seagrass
Artifical.reef.1.8.21.S108	Artifical_reef_A_8_21	Artifical	NA	A	1	Sample	NA	Eli	NA
Artifical.reef.2.8.21.S109	Artifical_reef_B_8_21	Artifical	NA	B	1	Sample	NA	Eli	NA
Artifical.reef.3.8.21.S110	Artifical_reef_C_8_21	Artifical	NA	C	1	Sample	NA	Eli	NA
Control.reef.1.8.21.S111	Control_reef_A_8_21	Control	NA	A	1	Sample	NA	Eli	NA
Control.reef.2.8.21.S112	Control_reef_B_8_21	Control	NA	B	1	Sample	NA	Eli	NA
Control.reef.3.8.21.S113	Control_reef_C_8_21	Control	NA	C	1	Sample	NA	Eli	NA
MQ.Blank.8.21.Eli.S114	MQ_Blank_8_21_Eli	NA	NA	NA	NA	Control	Blank	Eli	NA
PCR.blank.Eli.S115	PCR_blank_Eli	NA	NA	NA	NA	Control	Blank	Eli	NA
